strongs_id,Original Word,Part of Speech,Transliteration,Pronunciation,Phonetic Spelling,KJV,NASB,Word Origin
H48,אֲבִירָם,Proper Name Masculine,Abiyram,ah-bee-RAHM,(ab-ee-rawm'),Abiram,Abiram,[from
H49,אֲבִישַׁג,Proper Name Feminine,Abiyshag,ah-vee-SHAHG,(ab-ee-shag'),Abishag,Abishag,[from
H50,אֲבִישׁוּעַ,Proper Name Masculine,Abiyshuwae,ah-vee-SHOO-ah,(ab-ee-shoo'-ah),Abishua,Abishua,[from
H51,אֲבִישׁוּר,Proper Name Masculine,Abiyshuwr,ah-vee-SHOOR,(ab-ee-shoor'),Abishur,"Abishur, Abishur's",[from
H52,אֲבִישַׁי,Proper Name Masculine,Abiyshay,ah-vee-SHY,(ab-ee-shah'ee),Abishai,"Abishai, Abshai",[from
H53,אֲבִישָׁלוֹם,Proper Name Masculine,Abiyshalowm,ah-bee-shah-lohm,(ab-ee-shaw-lome'),"Abishalom, Absalom","Absalom, Absalom's, Abishalom",[from
H54,אֶבְיָתָר,Proper Name Masculine,Ebyathar,eb-yaw-THAR,(ab-yaw-thawr'),Abiathar,"Abiathar, Abiathar's",[contracted from
H55,אָבַךְ,Verb,abak,ah-BAHK,(aw-bak'),mount up,roll upward,[a primitive root]
H56,אָבַל,Verb,abal,ah-VAHL,(aw-bal'),"lament, mourn","mourn, mourns, mourned, mourning, caused lamentations, grieve, grieved",[a primitive root]
H57,אָבֵל,Adjective,abel,ah-vel,(aw-bale'),"mourn(-er, -ing)","mourning, mourn, mourners, one who sorrows",[from
H58,אָבֵל,Noun Feminine,abel,ah-vel,(aw-bale'),plain,,[from an unused root (meaning to be grassy)]
H59,אָבֵל,Proper Name Location,Abel,ah-vel,(aw-bale'),Abel,Abel,[from
H60,אֵבֶל,Noun Masculine,ebel,EH-bel,(ay'-bel),mourning,"mourning, mourn",[from
H61,אֲבָל,Adverb,abal,ah-VAL,(ab-awl'),"but, indeed, nevertheless, verily","truly, however, nevertheless, no",[apparently from
H62,אָבֵל בֵּית־מֲעַכָה,Proper Name Location,Abel Beyth-Ma`akah,ah-VEL bayt mah-ah-KAH,(aw-bale' bayth ma-a-kaw'),"Abel-beth-maachah, Abel of Beth-maachah,","Abel-beth-maacah, Abel",[from
H63,אָבֵל הַשִּׁטִּים,Proper Name Location,Abel hash-Shittiym,ah-BEL hah-shit-TEEM,(aw-bale' hash-shit-teem'),Abel-shittim,Abel-shittim,[from
H64,אָבֵל כְּרָמִים,Proper Name Location,Abel Kramiym,ah-VEL keh-rah-MEEM,(aw-bale' ker-aw-meem'),plain of the vineyards,Abel-keramim,[from
H65,אָבֵל מְחוֹלָה,Proper Name Location,Abel Mchowlah,ah-VEL meh-kho-LAH,(aw-bale' mekh-o-law'),Abel-meholah,Abel-meholah,[from
H66,אַבֵל מַיִם,Proper Name Location,Abel Mayim,ah-VEL MAH-yeem,(aw-bale' mah'-yim),Abel-maim,Abel-maim,[from
H67,אָבֵל מִצְרַיִם,Proper Name Location,Abel Mitsrayim,ah-VEL mits-RAH-yeem,(aw-bale' mits-rah'-yim),Abel-mizraim,Abel-mizraim,[from
H68,אֶבֶן,Noun Feminine,eben,EH-ben,(eh'-ben),"+ carbuncle, + mason, + plummet, (chalk-, hail-, head-, sling-)stone(-ny), (divers) weight(-s)","stones, stone, weight, differing weights, weights, rock, another",[from the root of
H69,אֶבֶן,Noun Feminine,eben,EH-ben,(eh'-ben),,"stone, stones",[(Aramaic) corresponding to
H70,אֹבֶן,Noun Masculine,oben,OH-ben,(o'ben),"wheel, stool","birthstool, wheel",[from the same as
H71,אֲבָנָה,Proper name,Abanah,ah-vah-NAH,(ab-aw-naw'),Abana,Abanah,[perhaps feminine of
H72,אֶבֶן הָעֵזֶר,Noun,Eben ha-`ezer,eh'-ben hah-ay'-zer,(eh'-ben haw-e'-zer),Ebenezer,Ebenezer,[from
H73,אַבְנֵט,Noun Masculine,abnet,av-NAYT,(ab-nate'),girdle,"sash, sashes",[of uncertain derivation]
H74,אַבְנֵר,Proper Name Masculine,Abner,av-NAYR,(ab-nare'),Abner,"Abner, Abner's",[from
H75,אָבַס,Verb,abac,ah-bas',(aw-bas'),"fatted, stalled",fattened,[a primitive root]
H76,אֲבַעְבֻּעָה,Noun Feminine,aba`bu`ah,ah-bah-BOO-ah,(ab-ah-boo-aw'),blains,sores,[(by reduplication) from an unused root (meaning to belch forth)]
H77,אֶבֶץ,Proper Name Location,Ebets,EH-bets,(eh'-bets),Abez,Ebez,[from an unused root probably meaning to gleam]
H78,אִבְצָן,Proper Name Masculine,Ibtsan,ib-tsawn',(ib-tsawn'),Ibzan,Ibzan,[from the same as
H79,אָבַק,Verb,abaq,ah-VAHK,(aw-bak'),wrestle,wrestled,"[a primitive root, probably to float away (as vapor), but used only as denominative from"
H80,אָבָק,Noun Masculine,abaq,ah-VAHK,(aw-bawk'),"(small) dust, powder","dust, powder",[from root of
H81,אֲבָקָה,Noun Feminine,abaqah,ah-vah-KAH,(ab-aw-kaw'),,scented powders,[feminine of
H82,אָבַר,Verb,abar,ah-bar,(aw-bar'),fly,soars,[a primitive root]
H83,אֵבֶר,Noun Masculine,eber,AY-ver,(ay-ber'),(long-)wing(-ed),"wings, pinions",[from
H84,אֶבְרָה,Noun Feminine,ebrah,ehv-raw',(eb-raw'),,"pinions, pinion",[feminine of
H85,אַבְרָהָם,Proper Name Masculine,Abraham,av-raw-hawm',(ab-raw-hawm'),Abraham,"Abraham, Abraham's",[contracted from
H86,אַבְרֵךְ,Verb,abrek,ah-brek,(ab-rake'),,bow the knee,[probably an Egyptian word meaning kneel]
H87,אַבְרָם,Proper Name Masculine,Abram,av-RAHM,(ab-rawm'),Abram,"Abram, Abram's",[contracted from
H88,אֹבֹת,Proper Name Location,oboth,oh-BOHTH,(o-both'),Oboth,Oboth,[plural of
H89,אָגֵא,Proper Name Masculine,Age',oh-LAHM,(aw-gay'),Agee,Agee,[of uncertain derivation]
H90,אֲגַג,Proper Name Masculine,Agag,ah-GAHG,(ag-ag'),Agag,Agag,[of uncertain derivation]
H91,אֲגָגִי,Adjective,Agagiy,ah-gah-GHEE,(ag-aw-ghee'),Agagite,Agagite,[patrial or patronymic from
H92,אֲגֻדָּה,Noun Feminine,aguddah,ah-goo-dah,(ag-ood-daw'),"bunch, burden, troop","band, bands, bunch, vaulted dome",[feminine passive participle of an unused root (meaning to bind)]
H93,אֲגוֹז,Noun Masculine,egowz,eh-GOZ,(eg-oze'),nut,nut trees,[prob of Persian origin]
H94,אָגוּר,Proper Name Masculine,Aguwr,ah-GOOR,(aw-goor'),Agur,Agur,[passive participle of
H95,אֲגוֹרָה,Noun Feminine,agowrah,ah-go-RAH,(ag-o-raw'),piece (of) silver,piece,[from the same as
H96,אֶגֶל,Noun Masculine,egel,ay'-ghel,(eh'-ghel),drop,drops,[from an unused root (meaning to flow down or together as drops)]
H97,אֶגְלַיִם,Proper Name Location,Eglayim,eg-lah'-yim,(eg-lah'-yim),Eglaim,Eglaim,[dual of
H98,אֲגַם,Noun Masculine,agam,ah-gahm',(ag-am'),"pond, pool, standing (water)","pool, pools, marshes, ponds, swamps",[from an unused root (meaning to collect as water)]
H99,אָגֵם,Adjective,agem,ah-gem',(aw-game'),pond,grieved,[probably from the same as
H100,אַגְמוֹן,Noun Masculine,agmown,ag-mone',(ag-mone'),"bulrush, caldron, hook, rush","bulrush, reed, rope, rushes",[from the same as
H101,אַגָּן,Noun Masculine,aggan,ag-gawn',(ag-gawn'),"basin, cup, goblet","basins, goblet",[probably from
H102,אַגָּף,Noun Masculine,aggaph,ah-hah-VAH,(ag-gawf'),bands,troops,[probably from
H103,אָגַר,Verb,agar,ah-GAR,(aw-gar'),gather,"gathers, gather",[a primitive root]
H104,אִגְּרָא,Noun Feminine,iggra',ig-geh-rah,(ig-er-aw'),letter,letter,[(Aramaic) of Persian origin]
H105,אֲגַרְטָל,Noun Masculine,agartal,ah-gar-TAHL,(ag-ar-tawl'),charger,dishes,[of uncertain derivation]
H106,אֶגְרֹף,Noun Masculine,egroph,eh-grof,(eg-rofe'),fist,fist,[from
H107,אִגְרֶת,Noun Feminine,iggereth,ig-eh-reth,(ig-eh'-reth),letter,"letters, letter",[feminine of
H108,אֵד,Noun Masculine,ed,āyd,(ade),"mist, vapor",mist,[from the same as
H109,אָדַב,Verb,adab,ah-dab',(aw-dab'),grieve,grieve,[a primitive root]
H110,אַדְבְּאֵל,Proper Name Masculine,Adb'el,ad-beh-EL,(ad-beh-ale'),Adbeel,Adbeel,[probably from
H111,אֲדַד,Proper Name Masculine,Adad,ah-DAD,(ad-ad'),Hadad,,[probably an orthographical variation for
H112,אִדּוֹ,Proper Name Masculine,Iddow,id-do,(id-do),Iddo,,[of uncertain derivation]
H113,אָדוֹן,Noun Masculine,adown,ah-DOHN,(aw-done'),"lord, master, owner","lord, master, master's, lord's, masters, lords",[from an unused root (meaning to rule)]
H114,אַדּוֹן,Adjective,Addown,ad-dohn',(ad-done'),Addon,Addon,[probably intensive for
H115,אֲדוֹרַיִם,Proper Name Location,Adowrayim,ah-do-RAH-yeem,(ad-o-rah'-yim),Adoraim,Adoraim,[dual from
H116,אֲדַיִן,Adverb,edayin,eh-dah'-yin,(ed-ah'-yin),"now, that time, then",then,[(Aramaic) of uncertain derivation]
H117,אַדִּיר,Adjective,addiyr,ah-DEER,(ad-deer'),"excellent, famous, gallant, glorious, goodly, lordly, mighty(-ier one), noble, principal, worthy","nobles, mighty, majestic, masters, glorious, leader, magnificent",[from
H118,אֲדַלְיָא,Proper Name Masculine,Adalya',ah-dal-YAH,(ad-al-yaw'),Adalia,Adalia,[of Persian derivation]
H119,אָדָם,Verb,adam,ah-DOME,(aw-dam'),,"dyed red, red, ruddy","[to show blood (in the face), i.e. flush or turn rosy]"
H120,אָדָם,Noun Masculine,adam,ah-DAHM,(aw-dawm'),"X another, + hypocrite, + common sort, X low, man (mean, of low degree), person","man, men, man's, human, mankind, person, anyone",[from
H121,אָדָם,Proper Name Masculine,Adam,ah-DAHM,(aw-dawm'),Adam,Adam,[the same as
H122,אֱדֹם,Adjective,adom,ah-DOME,(aw-dome'),"red, ruddy","red, ruddy",[from
H123,אֱדֹם,Proper Name Masculine,Edom,eh-DOME,(ed-ome'),"Edom, Edomites, Idumea",stuff,[from
H124,אֹדֶם,Noun Feminine,odem,OH-dem,(o'-dem),sardius,ruby,[from
H125,אֲדַמְדָּם,Adjective,adamdam,ad-em-dawm',(ad-am-dawm'),(somewhat) reddish,"reddish-white, reddish",[reduplicated from
H126,אַדָמָה,Proper Name Location,Admah,ad-maw',(ad-maw'),Admah,Admah,[contracted for
H127,אֲדָמָה,Noun Feminine,adamah,ah-dah-MAH,(ad-aw-maw'),"country, earth, ground, husband(-man) (-ry), land","land, ground, earth, soil, dust, lands, country",[from
H128,אֲדָמָה,Proper Name Location,Adamah,ah-dah-MAH,(ad-aw-maw'),Adamah,Adamah,[the same as
H129,אֲדָמִי,Proper Name Location,Adamiy,ah-dah-MEE hah-neh-KEB,(ad-aw-mee'),Adami,Adami-nekeb,[from
H130,אֱדֹמִי,Adjective,Edomiy,ah-do-MEE,(ed-o-mee'),Edomite See H0726,"Edomite, Edomites, Arameans",[patronymic from
H131,אֲדֻמִּים,Proper Name Location,Adummiym,ah-doo-MEEM,(ad-oom-meem'),Adummim,Adummim,[plural of
H132,אַדְמֹנִי,Adjective,admoniy,ad-mo-NEE,(ad-mo-nee'),"red, ruddy","ruddy, red",[from
H133,אַדְמָתָא,Proper Name Masculine,Admatha',ad-maw-THAW,(ad-maw-thaw'),,Admatha,[probably of Persian derivation]
H134,אֶדֶן,Noun Masculine,eden,AY-den,(eh'-den),"foundation, socket","sockets, bases, pedestals, socket",[from the same as
H135,אַדָּן,Proper Name Location,Addan,ad-dawn',(ad-dawn'),Addan,Addan,[intensive from the same as
H136,אֲדֹנָי,Noun Masculine,Adonay,ah-doe-NIGH,(ad-o-noy'),(my) Lord,"Lord, lords",[am emphatic form of
H137,אֲדֹנִי־בֶזֶק,Proper Name Masculine,Adoniy-Bezeq,ah-doh-nee-beh-zehk,(ad-o''-nee-beh'-zek),Adoni-bezek,Adoni-bezek,[from
H138,אֲדֹנִיָּה,Proper Name Masculine,Adoniyah,ah-do-nee-YAH-hoo,(ad-o-nee-yaw'),Adonijah,Adonijah,[from
H139,אֲדֹנִי־צֶדֶק,Proper Name Masculine,Adoniy-Tsedeq,ah-doh-nee tseh-dek,(ad-o''-nee-tseh'-dek),Adonizedec,Adoni-zedek,[from
H140,אֲדֹנִיקָם,Proper Name Masculine,Adoniyqam,ah-do-nee-KAHM,(ad-o-nee-kawm'),Adonikam,Adonikam,[from
H141,אֲדֹנִירָם,Proper Name Masculine,Adoniyram,ah-do-nee-RAHM,(ad-o-nee-rawm'),Adoniram,Adoniram,[from
H142,אָדַר,Verb,adar,ah-dar,(aw-dar'),"(become) glorious, honourable","majestic, glorious",[a primitive root]
H143,אֲדָר,Noun,Adar,ah-DAHR,(ad-awr'),Adar,Adar,[probably of foreign derivation]
H144,אֲדָר,Noun,Adar,ah-DAR,(ad-awr'),,Adar,[(Aramaic) corresponding to
H145,אֶדֶר,Noun,eder,AY-der,(eh'-der),"goodly, robe",magnificent,[from
H146,אַדָּר,Proper Name Masculine,Addar,ad-dawr',(ad-dawr'),Addar,Addar,[intensive from
H147,אִדַּר,Noun Feminine,iddar,id-dawr,(id-dar'),threshingfloor,threshing floors,"[(Aramaic) intensive, from a root corresponding to"
H148,אֲדרְגָּזֵר,Noun Masculine,adargazer,ah-dar-gah-zar,(ad-ar''-gaw-zare'),judge,counselors,[(Aramaic) from the same as
H149,אַדְרַזְדָּא,Adverb,adrazda',ad-raz-daw,(ad-raz-daw'),diligently,zeal,[(Aramaic) probably of Persian origin]
H150,אֲדַרְכֹּן,Noun Masculine,adarkon,ah-dar-KONE,(ad-ar-kone'),dram,darics,[of Persian origin]
H151,אֲדֹרָם,Proper Name Masculine,Adoram,ah-do-RAHM,(ad-o-rawm'),Adoram,Adoram,[contracted for
H152,אֲדֹרָמֶלֶךְ,Proper Name Masculine,Adrammelek,ad-ram-meh'-lek,(ad-ram-meh'-lek),Adrammelech,Adrammelech,[from
H153,אֶדְרָע,Noun Feminine,edra`,eh-drah,(ed-raw'),force,force,[(Aramaic) an orthographical variation for
H154,אֶדְרֶעִי,Proper Name Location,edre`iy,ed-reh-ee,(ed-reh'-ee),Edrei,Edrei,[from the equivalent of
H155,אַדֶּרֶת,Noun Feminine,addereth,ad-deh'-reth,(ad-deh'-reth),"garment, glory, goodly, mantle, robe","mantle, robe, garment, glory, splendid",[feminine of
H156,אָדַשׁ,Verb,adash,ah-dash,(aw-dash'),thresh,,[a primitive root]
H157,אָהַב,Verb,ahab,ah-HEB,(aw-hab'),"(be-)love(-d, -ly, -r), like, friend","love, loved, loves, lovers, friends, friend, loving",[a primitive root]
H158,אַהַב,Noun Masculine,ahab,ah-HAV,(ah'-hab),love(-r),"lovers, loving",[from
H159,אַֹהַב,Noun Masculine,ohab,oh-hab',(o'-hab),love,"caresses, which",[from
H160,אַהֲבָה,Noun Feminine,ahabah,ah-hah-VAH,(a-hab-aw),,"love, lovingly",[feminine of
H161,אֹהַד,Proper Name Masculine,Ohad,o-had',(o'-had),Ohad,Ohad,[from an unused root meaning to be united]
H162,אֲהָהּ,Interjection,ahahh,ah-hah,(a-haw'),"ah, alas","alas, Ah",[apparently a primitive word expressing pain exclamatorily]
H163,אַהֲוָא,Proper Name Location,Ahava',ah-hah-VAH,(a-hav-aw'),Ahava,Ahava,[probably of foreign origin]
H164,אֵהוּד,Proper Name Masculine,Ehuwd,ay-HOOD,(ay-hood'),Ehud,Ehud,[from the same as
H165,אֱהִי,Adverb,ehiy,eh-hee,(e-hee'),I will be (Hos 13,where,[apparently an orthographical variation for
H166,אָהַל,Verb,ahal,ah-hal,(aw-hal'),shine,has brightness,[a primitive root]
H167,אֹהַל,Verb,ahal,ah-hal',(aw-hal'),pitch (remove) a tent,"moved tent, moved tents, pitch tent",[a denominative from
H168,אֹהֶל,Noun Masculine,ohel,OH-hel,(o'-hel),"covering, (dwelling)(place), home, tabernacle, tent","tent, tents, home, owned, side pillar",[from
H169,אֹהֶל,Proper Name Masculine,Ohel,OH-hel,(o'-hel),Ohel,Ohel,[the same as
H170,אָהֱלָה,Proper Name Feminine,Oholah,oh-ho-LAH,(o-hol-aw'),Aholah,Oholah,[from
H171,אָהֱלִיאָב,Proper Name Masculine,Oholiy'ab,oh-ho-lee-ahv,(o''-hol-e-awb'),Aholiab,Oholiab,[from
H172,אָהֱלִיבָה,Proper Name Feminine,Oholiybah,o-ho-LEE-bah,(o''-hol-ee-baw'),Aholibah,Oholibah,[from
H173,אָהֱלִיבָמָה,Noun,Oholiybamah,o-ho-lee-BAH-mah,(o''-hol-ee-baw-maw'),Aholibamah,Oholibamah,[from
H174,אֲהָלִים,Noun Masculine,ahaliym,ah-haw-leem',(a-haw-leem'),(tree of lign-) aloes,aloes,[of foreign origin]
H175,אַהֲרוֹן,Proper Name Masculine,Aharown,ah-har-OWN,(a-har-one'),Aaron,"Aaron, Aaron's",[of uncertain derivation]
H176,אוֹ,conjunction; noun masculine,ow,oh,(o),"also, and, either, if, at the least, X nor, or, otherwise, then, whether","or, whether, if, also, either, nor, otherwise",[short for
H177,אוּאֵל,Proper Name Masculine,Uw'el,oo-ale',(oo-ale'),Uel,,[from
H178,אוֹב,Noun Masculine,owb,ohb,(obe),"bottle, familiar spirit","mediums, medium, spirit, wineskins",[from the same as
H179,אוֹבִיל,Proper Name Masculine,owbiyl,oh-BEEL,(o-beel'),Obil,Obil,[probably from
H180,אוּבָל,Noun Masculine,uwbal,oo-bahl',(oo-bawl'),river,canal,[from
H181,אוּד,Noun Masculine,uwd,ood,(ood),(fire-)brand,"brand, firebrand, firebrands",[from an unused root meaning to rake together]
H182,אוֹדוֹת,Noun Feminine,owdowth,o-doth,(o-doth'),"(be-)cause, concerning, sake","account, because",[from the same as
H183,אָוָה,Verb,avah,ah-vah',(aw-vaw'),"covet, (greatly) desire, be desirous, long, lust (after)","desire, desires, desired, had a craving, been greedy, crave, craved",[a primitive root]
H184,אָוָה,Verb,avah,ah-vah',(aw-vaw'),point out,draw,[a primitive root]
H185,אַוָּה,Noun Feminine,avvah,ahv-VAH,(av-vaw'),"desire, lust after, pleasure","desire, desires",[from
H186,אוּזַי,Proper Name Masculine,Uwzay,oo-ZAH-ee,(oo-zah'-ee),Uzai,Uzai,[perhaps by permutation for
H187,אוּזָל,Proper Name Masculine,Uwzal,oo-ZAHL,(oo-zawl'),Uzal,Uzal,[of uncertain derivation]
H188,אוֹי,Interjection,owy,oy,(o'-ee),"alas, woe","woe, alas",[probably from
H189,אֱוִי,Proper Name Masculine,Eviy,ay-VEE,(ev-ee'),Evi,Evi,[probably from
H190,אוֹיָה,Interjection,owyah,oh-yah,(o-yaw'),,woe,[feminine of
H191,אֱוִיל,Adjective Masculine,eviyl,rah,(ev-eel'),fool(-ish) (man),"fool, fools, foolish, foolish man, fool's",[from an unused root (meaning to be perverse)]
H192,אֱוִיל מְרֹדַךְ,Proper Name Masculine,Eviyl Mrodak,eh-veel meh-roh-dahk,(ev-eel' mer-o-dak'),Evil-merodach,Evil-merodach,[of Aramaic derivation and probably meaning soldier of Merodak]
H193,אוּל,Noun Masculine,uwl,ool,(ool),"mighty, strength",,"[from an unused root meaning to twist, by implication, to be strong]"
H194,אוּלַי,Adverb,uwlay,oo-lah'ee,(oo-lah'ee),"if so be, may be, peradventure, unless","perhaps, suppose, if, should",[from
H195,אוּלַי,Noun,Uwlay,oo-lah'ee,(oo-lah'ee),Ulai,Ulai,[of Persian derivation]
H196,אֱוִלִי,Adjective,eviliy,eh-vee-LEE,(ev-ee-lee'),foolish,foolish,[from
H197,אוּלָם,Noun Masculine,uwlam,oo-lahm',(oo-lawm'),porch,"porch, hall, porches",[from
H198,אוּלָם,Proper Name Masculine,Uwlam,oo-lahm',(oo-lawm'),Ulam,Ulam,"[appar, from"
H199,אוּלָם,Adverb,uwlam,oo-lahm',(oo-lawm'),"as for, but, howbeit, in very deed, surely, truly, wherefore","however, indeed, nevertheless, other hand, rather, truly",[apparently a variation of
H200,אִוֶּלֶת,Noun Feminine,ivveleth,iv-VEH-leth,(iv-veh'-leth),"folly, foolishly(-ness)","folly, foolishness, foolish, foolishly",[from the same as
H201,אוֹמָר,Proper Name Masculine,Owmar,oh-MAHR,(o-mawr'),Omar,Omar,[from
H202,אוֹן,Noun Masculine,own,ohr,(one),"force, goods, might, strength, substance","strength, might, wealth, maturity, power, strong men, vigor",[probably from the same as
H203,אוֹן,Proper Name Masculine,Own,ōn,(one),On,,[the same as
H204,אָוֶן,Proper Name Location,Own,ōn,(one),On,,[of Egyptian derivation]
H205,אָוֶן,Noun Masculine,aven,AH-ven,(aw-ven'),"affliction, evil, false, idol, iniquity, mischief, mourners(-ing), naught, sorrow, unjust, unrighteous, vain ,vanity, wicked(-ness)","iniquity, wickedness, wicked, evil, trouble, affliction, distress","[from an unused root perhaps meaning properly, to pant (hence, to exert oneself, usually in vain; to come to naught)]"
H206,אָוֶן,Proper Name Location,Aven,AH-ven,(aw'-ven),"Aven See also H0204, H1007",Aven,[the same as
H207,אוֹנוֹ,Proper Name Location,Ownow,OH-no,(o-no'),Ono,Ono,[prolonged from
H208,אוֹנָם,Proper Name Masculine,Ownam,oh-NAHM,(o-nawm'),Onam,Onam,[a variation of
H209,אוֹנָן,Proper Name Masculine,Ownan,oh-NAHN,(o-nawn'),Onan,Onan,[a variation of
H210,אוּפָז,Proper Name Location,Uwphaz,oo-FAHZ,(oo-fawz'),Uphaz,Uphaz,[perhaps a corruption of
H211,אוֹפִיר,Proper Name Masculine,Owphiyr,oh-FEER,(o-feer'),Ophir,Ophir,[of uncertain derivation]
H212,אוֹפָן,Noun Masculine,owphan,oh-fan,(o-fawn'),wheel,"wheels, wheel, another",[from an unused root meaning to revolve]
H213,אוּץ,Verb,uwts,oots,(oots),"(make) haste(-n, -y), labor, be narrow","hasty, hasten, hurried, hurries, makes haste, narrow, pressed",[a primitive root]
H214,אוֹצָר,Noun Masculine,owtsar,oh-tsar,(o-tsaw'),"armory, cellar, garner, store(-house), treasure(-house) (-y)","treasures, treasuries, storehouses, treasury, storehouse, stores, treasure",[from
H215,אוֹר,Verb,owr,ohr,(ore),"X break of day, glorious, kindle, (be, en-, give, show) light (-en, -ened), set on fire, shine","shine, give light, light, brightened, enlighten, gives light, lit",[a primitive root]
H216,אוֹר,Noun Feminine,owr,ohr,(ore),"bright, clear, + day, light (-ning), morning, sun","light, lightning, lights, broad, dawn, daylight, early morning",[from
H217,אוּר,Noun Masculine,uwr,oor,(ore),"fire, light See also H0224","fire, light",[from
H218,אוּר,Proper Name Location,Uwr,oor,(oor),Ur,,[the same as
H219,אוֹרָה,Noun Feminine,owrah,o-raw',(o-raw'),"herb, light",,[feminine of
H220,אֲוֵרָה,Noun Feminine,averah,ah-veh-RAH,(av-ay-raw'),cote,,[by transposition for
H221,אוּרִי,Proper Name Masculine,Uwriy,oo-REE,(oo-ree'),Uri,Uri,[from
H222,אוּרִיאֵל,Proper Name Masculine,Uwriy'el,oo-ree-EL,(oo-ree-ale'),Uriel,Uriel,[from
H223,איּרִיָּה,Proper Name Masculine,Uwriyah,oo-ree-YAH,(oo-ree-yaw'),"Uriah, Urijah",,[from
H224,אוּרִים,Noun Masculine,Uwriym,oo-reem',(oo-reem'),Urim,Urim,[plur of
H225,אוּת,Verb,uwth,ooth,(ooth),consent,"consent, agreed",[a primitive root]
H226,אוֹת,Noun Feminine,owth,[ōth],(oth),"mark, miracle, (en-)sign, token","sign, signs, banners, omens, pledge, standards, witness",[probably from
H227,אָז,Adverb,az,ahz,(awz),"beginning, for, from, hitherto, now, of old, once, since, then, at which time, yet","then, time, if, now, once, so, yet",[a demonstrative adverb]
H228,אֲזָא,Verb,aza',ah-zah,(az-zaw'),"heat, hot","heat, heated, made hot",[a primary root]
H229,אֶזְבַּי,Proper Name Masculine,Ezbay,ez-bah'-ee,(ez-bah'ee),Ezbai,Ezbai,[probably from
H230,אֲזָד,Verb,azad,az-daw',(az-zawd'),be gone,firm,[(Aramaic) of uncertain derivation]
H231,אֵזוֹב,Noun Masculine,ezowb,ay-zobe',(ay-zobe'),hyssop,hyssop,[probably of foreign derivation]
H232,אֵזוֹר,Noun Masculine,ezowr,ay-zore,(ay-zore'),girdle,"waistband, belt, girdle, belts",[from
H233,אֲזַי,Adverb,azay,ah-zah'ee,(az-ah'ee),then,then,[probably from
H234,אַזְכָּרָה,Noun Feminine,azkarah,az-kaw-RAW,(az-kaw-raw'),memorial,"memorial portion, memorial offering",[from
H235,אָזַל,Verb,azal,ah-zahl,(aw-zal'),"fail, gad about, go to and fro (but in Ezek 27","gone, evaporates, go, goes his way",[a primitive root]
H236,אֲזַל,Verb,azal,aw-zal',(az-al'),go (up),"went, go, gone, went off",[(Aramaic) the same as
H237,אֶזֶל,Proper Name Location,ezel,AY-tzel,(eh'-zel),Ezel,Ezel,[from
H238,אָזַן,Verb,azan,ah-zan,(aw-zan'),"give (perceive by the) ear, hear(-ken) See H0239","give ear, listen, hear, give heed, listened, listening, pays attention","[a primitive root, probably to expand; but used only as a denominative from"
H239,אָזַן,Verb,azan,ah-zan,(aw-zan'),give good heed,pondered,[a primitive root (rather identical with
H240,אָזֵן,Noun Masculine,azen,aw-ZEN,(aw-zane'),weapon,tools,[from
H241,אֹזֶן,Noun Feminine,ozen,OH-zen,(o'-zen),"+ advertise, audience, + displease, ear, hearing, + show","ear, ears, hearing, attentive, closely",[from
H242,אֻזֵּן שֶׁאֱרָה,Proper Name Location,Uzzen She'erah,oo-ZEN sheh-AY-rah,(ooz-zane' sheh-er-aw'),Uzzen-sherah,Uzzen-sheerah,[from
H243,אַזְנוֹת תָּבוֹר,Proper Name Location,Aznowth Tabowr,az-NOTH tah-BOHR,(az-noth' taw-bore'),Aznoth-tabor,Aznoth-tabor,[from
H244,אָזְנִי,Proper Name Masculine,Ozniy,ohz-NEE,(oz-nee'),"Ozni, Oznites",,[from
H245,אֲזַנְיָה,Proper Name Masculine,Azanyah,ah-zan-YAH,(az-an-yaw'),Azaniah,Azaniah,[from
H246,אֲזִקִּים,Noun Masculine,aziqqiym,ay'-zek,(az-ik-keem'),chains,chains,[a variation for
H247,אָזַר,Verb,azar,ah-ZAHR,(aw-zar'),"bind (compass) about, gird (up, with)","gird, girded, binds, bound, encircle, girds",[a primitive root]
H248,אֶזְרוֹעַ,Noun Feminine,ezrowa`,ez-RO-ah,(ez-ro'-a),arm,arm,[a variation for
H249,אֶזְרָח,Noun Masculine,ezrach,ez-rahkh,(ez-rawkh'),"bay tree, (home-)born (in the land), of the (one's own) country (nation)","native, native-born, tree in its native",[from
H250,אֶזְרָחִי,Adjective,Ezrachiy,ez-rah-khee,(ez-raw-khee'),Ezrahite,Ezrahite,[patronymic from
H251,אָח,Noun Masculine,ach,ahkh,(awkh),"another, brother(-ly); kindred, like, other","brother, brothers, relatives, kinsmen, brother's, brethren, another",[a primitive word]
H252,אַח,Noun Masculine,ach,ahkh,(akh),,brothers,[(Aramaic) corresponding to
H253,אָח,Interjection,ach,ahkh,(awkh),"ah, alas","Ah, alas",[a variation for
H254,אָח,Noun Feminine,ach,ahkh,(awkh),hearth,brazier,[of uncertain derivation]
H255,אֹחַ,Noun Masculine,oach,oh'-akh,(o'-akh),doleful creature,owls,[probably from
H256,אַחְאָב,"proper name, masculine",Ach'ab,ah-KHAHV,(akh-awb'),Ahab,"Ahab, Ahab's",[from
